# vehicle id = 3
# random fix= 0.90337226
# model label  = ACC1
# model category = TIME_CONTINUOUS_MODEL
# model name = Adaptive-Cruise-Control-Model (short name: ACC)
# physical vehicle length (in m) = 6.00
# position x is defined by vehicle front (on the given road segment)
# origin roadsegment id= 1, exit roadsegment id= -1 (not set=-1)
# Route [roadSegments=[RoadSegment [id=2, userId=2, roadLength=2000.0, laneCount=1], RoadSegment [id=3, userId=3, roadLength=500.0, laneCount=2], RoadSegment [id=4, userId=4, roadLength=2500.0, laneCount=1]], name=main, length=5000.0]
#     t[s],    roadId,      lane,      x[m], totalX[m],    v[m/s],  a[m/s^2],aModel[m/s^2], gap[m],   dv[m/s],distToTL[m],fuelFlow[ml/s],frontVehID,slope[rad]
     53.20,         2,         0,       8.9,    900.68,    21.986,   0.00005,   0.00005,    46.043,  -0.21238,     -1.00,  1.339842,         2, 0.00000
     53.40,         2,         0,      13.3,    905.07,    21.986,   0.00005,   0.00005,    46.086,  -0.21236,     -1.00,  1.339837,         2, 0.00000
     53.60,         2,         0,      17.7,    909.47,    21.986,   0.00005,   0.00005,    46.128,  -0.21235,     -1.00,  1.339832,         2, 0.00000
     53.80,         2,         0,      22.1,    913.87,    21.986,   0.00004,   0.00004,    46.171,  -0.21234,     -1.00,  1.339827,         2, 0.00000
     54.00,         2,         0,      26.5,    918.26,    21.986,   0.00004,   0.00004,    46.213,  -0.21233,     -1.00,  1.339823,         2, 0.00000
     54.20,         2,         0,      30.9,    922.66,    21.986,   0.00004,   0.00004,    46.255,  -0.21232,     -1.00,  1.339818,         2, 0.00000
     54.40,         2,         0,      35.3,    927.06,    21.986,   0.00004,   0.00004,    46.298,  -0.21231,     -1.00,  1.339814,         2, 0.00000
     54.60,         2,         0,      39.7,    931.46,    21.986,   0.00004,   0.00004,    46.340,  -0.21230,     -1.00,  1.339810,         2, 0.00000
     54.80,         2,         0,      44.1,    935.85,    21.986,   0.00004,   0.00004,    46.383,  -0.21229,     -1.00,  1.339806,         2, 0.00000
     55.00,         2,         0,      48.5,    940.25,    21.986,   0.00003,   0.00003,    46.425,  -0.21228,     -1.00,  1.339802,         2, 0.00000
     55.20,         2,         0,      52.8,    944.65,    21.986,   0.00003,   0.00003,    46.468,  -0.21227,     -1.00,  1.339799,         2, 0.00000
     55.40,         2,         0,      57.2,    949.05,    21.986,   0.00003,   0.00003,    46.510,  -0.21227,     -1.00,  1.339795,         2, 0.00000
     55.60,         2,         0,      61.6,    953.44,    21.986,   0.00003,   0.00003,    46.553,  -0.21226,     -1.00,  1.339792,         2, 0.00000
     55.80,         2,         0,      66.0,    957.84,    21.986,   0.00003,   0.00003,    46.595,  -0.21225,     -1.00,  1.339789,         2, 0.00000
