# vehicle id = 2
# random fix= 0.30871946
# model label  = ACC1
# model category = TIME_CONTINUOUS_MODEL
# model name = Adaptive-Cruise-Control-Model (short name: ACC)
# physical vehicle length (in m) = 6.00
# position x is defined by vehicle front (on the given road segment)
# origin roadsegment id= 1, exit roadsegment id= -1 (not set=-1)
# Route [roadSegments=[RoadSegment [id=2, userId=2, roadLength=2000.0, laneCount=1], RoadSegment [id=3, userId=3, roadLength=500.0, laneCount=2], RoadSegment [id=4, userId=4, roadLength=2500.0, laneCount=1]], name=main, length=5000.0]
#     t[s],    roadId,      lane,      x[m], totalX[m],    v[m/s],  a[m/s^2],aModel[m/s^2], gap[m],   dv[m/s],distToTL[m],fuelFlow[ml/s],frontVehID,slope[rad]
     50.80,         2,         0,       7.6,   1007.64,    22.199,  -0.00002,  -0.00002, 10000.000,   0.00000,     -1.00,  1.359017,        -1,0.00000
     51.00,         2,         0,      12.1,   1012.08,    22.199,  -0.00002,  -0.00002, 10000.000,   0.00000,     -1.00,  1.359019,        -1,0.00000
     51.20,         2,         0,      16.5,   1016.52,    22.199,  -0.00002,  -0.00002, 10000.000,   0.00000,     -1.00,  1.359021,        -1,0.00000
     51.40,         2,         0,      21.0,   1020.96,    22.199,  -0.00002,  -0.00002, 10000.000,   0.00000,     -1.00,  1.359024,        -1,0.00000
     51.60,         2,         0,      25.4,   1025.40,    22.199,  -0.00002,  -0.00002, 10000.000,   0.00000,     -1.00,  1.359026,        -1,0.00000
     51.80,         2,         0,      29.8,   1029.84,    22.199,  -0.00002,  -0.00002, 10000.000,   0.00000,     -1.00,  1.359028,        -1,0.00000
     52.00,         2,         0,      34.3,   1034.28,    22.199,  -0.00002,  -0.00002, 10000.000,   0.00000,     -1.00,  1.359029,        -1,0.00000
     52.20,         2,         0,      38.7,   1038.72,    22.199,  -0.00002,  -0.00002, 10000.000,   0.00000,     -1.00,  1.359031,        -1,0.00000
     52.40,         2,         0,      43.2,   1043.16,    22.199,  -0.00002,  -0.00002, 10000.000,   0.00000,     -1.00,  1.359033,        -1,0.00000
     52.60,         2,         0,      47.6,   1047.60,    22.199,  -0.00002,  -0.00002, 10000.000,   0.00000,     -1.00,  1.359035,        -1,0.00000
     52.80,         2,         0,      52.0,   1052.04,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359036,        -1,0.00000
     53.00,         2,         0,      56.5,   1056.48,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359038,        -1,0.00000
     53.20,         2,         0,      60.9,   1060.92,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359039,        -1,0.00000
     53.40,         2,         0,      65.4,   1065.36,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359040,        -1,0.00000
     53.60,         2,         0,      69.8,   1069.80,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359042,        -1,0.00000
     53.80,         2,         0,      74.2,   1074.24,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359043,        -1,0.00000
     54.00,         2,         0,      78.7,   1078.68,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359044,        -1,0.00000
     54.20,         2,         0,      83.1,   1083.12,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359045,        -1,0.00000
     54.40,         2,         0,      87.6,   1087.56,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359046,        -1,0.00000
     54.60,         2,         0,      92.0,   1092.00,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359047,        -1,0.00000
     54.80,         2,         0,      96.4,   1096.44,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359048,        -1,0.00000
     55.00,         2,         0,     100.9,   1100.88,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359049,        -1,0.00000
     55.20,         2,         0,     105.3,   1105.32,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359050,        -1,0.00000
     55.40,         2,         0,     109.8,   1109.76,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359051,        -1,0.00000
     55.60,         2,         0,     114.2,   1114.20,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359052,        -1,0.00000
     55.80,         2,         0,     118.6,   1118.64,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359053,        -1,0.00000
     56.00,         2,         0,     123.1,   1123.07,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359054,        -1,0.00000
     56.20,         2,         0,     127.5,   1127.51,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359054,        -1,0.00000
     56.40,         2,         0,     132.0,   1131.95,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359055,        -1,0.00000
     56.60,         2,         0,     136.4,   1136.39,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359056,        -1,0.00000
     56.80,         2,         0,     140.8,   1140.83,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359056,        -1,0.00000
     57.00,         2,         0,     145.3,   1145.27,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359057,        -1,0.00000
     57.20,         2,         0,     149.7,   1149.71,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359058,        -1,0.00000
     57.40,         2,         0,     154.2,   1154.15,    22.199,  -0.00001,  -0.00001, 10000.000,   0.00000,     -1.00,  1.359058,        -1,0.00000
     57.60,         2,         0,     158.6,   1158.59,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359059,        -1,0.00000
     57.80,         2,         0,     163.0,   1163.03,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359059,        -1,0.00000
     58.00,         2,         0,     167.5,   1167.47,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359060,        -1,0.00000
     58.20,         2,         0,     171.9,   1171.91,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359060,        -1,0.00000
     58.40,         2,         0,     176.4,   1176.35,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359061,        -1,0.00000
     58.60,         2,         0,     180.8,   1180.79,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359061,        -1,0.00000
     58.80,         2,         0,     185.2,   1185.23,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359061,        -1,0.00000
     59.00,         2,         0,     189.7,   1189.67,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359062,        -1,0.00000
     59.20,         2,         0,     194.1,   1194.11,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359062,        -1,0.00000
     59.40,         2,         0,     198.6,   1198.55,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359063,        -1,0.00000
     59.60,         2,         0,     203.0,   1202.99,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359063,        -1,0.00000
     59.80,         2,         0,     207.4,   1207.43,    22.199,  -0.00000,  -0.00000, 10000.000,   0.00000,     -1.00,  1.359063,        -1,0.00000
