# Movsim.org example data for fuel consumption modeling
# Source: Ostfalia Hochschule - Institute of Traffic Management http://www.ostfalia.de/cms/en/ifvm
# Wednesday,22,April,2009,12:32:39
# 03G 906 021 KH ,,"R4 1,9L EDC G000SG  8984",,
#,Group A:,'015,,,,Group B:,'006,,,,Group C:, Not Running,,,,,,,Gemessener,,,
#,,UPM,Drehmoment,Kraftstoffverbr,Drehmoment,,Drehzahl,Bin/Bits,Last,Bin/Bits,,,Zeitschritte,Zeit,Zeit,Weg,Geschwindigkeit,Beschleunigung,Verbrauch VAGCOM,,,
#,,UPM,Torque,Fuel Consumption,Torque,,number of rotations,Bin/Bits,Load,Bin/Bits,,,Timestep,Time,Time,Position,Speed,Acceleration,Consumption VAGCOM,,,,,,,,,,,,,,,,,,,,
#,TIME,,,,,TIME,,,,,TIME,,dt,t,t,s,v,a,bs,,v,v
#MARKER, STAMP, /min, Nm, l/h, Nm,STAMP, km/h,,%,,STAMP,,s,h,min,km,km/h,m/s2,l,,km/h,m/s
,241.11,819,39,0.6,0,241.34,52,1100,0,0,,,0.44,0.06,3.81,2.60,51,-0.60,0.11,,50.96,14.16
,241.56,1155,0,0,0,241.79,51,1100,0,0,,,0.45,0.06,3.81,2.60,50,-0.30,0.11,,49.98,13.88
,242.01,1386,2.4,0,0,242.23,50,1000,0,0,,,0.45,0.06,3.82,2.61,49,-0.30,0.11,,49,13.61
,242.46,1386,0,0,0,242.68,50,1000,0,0,,,0.45,0.06,3.83,2.62,49,-0.31,0.11,,49,13.61
,242.91,1365,0,0,0,243.13,49,1000,0,0,,,0.45,0.06,3.84,2.62,48,-0.31,0.11,,48.02,13.34
,243.35,1344,0,0,0,243.58,49,1000,0,0,,,0.44,0.06,3.84,2.63,48,-0.60,0.11,,48.02,13.34
,243.8,1323,0,0,0,244.03,48,1000,0,0,,,0.45,0.06,3.85,2.63,47,-0.30,0.11,,47.04,13.07
,244.25,1323,0,0,0,244.47,47,1000,0,0,,,0.45,0.06,3.86,2.64,46,-0.30,0.11,,46.06,12.79
,244.71,1302,0,0,0,244.94,47,1000,0,0,,,0.46,0.06,3.87,2.65,46,-0.60,0.11,,46.06,12.79
,245.16,1281,0,0,0,245.39,46,1000,0,0,,,0.45,0.06,3.87,2.65,45,-0.30,0.11,,45.08,12.52
,245.61,1260,0,0,0,245.83,45,1000,7.1,0,,,0.45,0.06,3.88,2.66,44,0.00,0.11,,44.1,12.25
,246.06,1260,29.3,0.6,31.7,246.28,45,1000,12.5,0,,,0.45,0.06,3.89,2.66,44,0.00,0.11,,44.1,12.25
,246.51,1239,53.7,1.4,53.7,246.73,45,1000,13.7,0,,,0.45,0.06,3.90,2.67,44,-0.31,0.11,,44.1,12.25
,246.95,1239,51.2,1.2,48.8,247.18,45,1000,12.5,0,,,0.44,0.07,3.90,2.67,44,-0.30,0.11,,44.1,12.25
,247.4,1239,46.4,1.2,48.8,247.63,44,1000,12.5,0,,,0.45,0.07,3.91,2.68,43,0.00,0.11,,43.12,11.98
,247.85,1218,48.8,1.2,48.8,248.07,44,1000,12.9,0,,,0.45,0.07,3.92,2.68,43,0.00,0.11,,43.12,11.98
,248.3,1239,56.1,1.4,58.6,248.52,44,1000,23.9,0,,,0.45,0.07,3.93,2.69,43,0.31,0.12,,43.12,11.98
,248.74,1239,95.2,2.6,100,248.97,44,1000,28.6,0,,,0.44,0.07,3.93,2.70,43,0.30,0.12,,43.12,11.98
,249.19,1260,107.4,3,107.4,249.42,45,1000,28.2,0,,,0.45,0.07,3.94,2.70,44,0.30,0.12,,44.1,12.25
,249.64,1260,107.4,3,104.9,249.86,45,1000,32.2,0,,,0.45,0.07,3.95,2.71,44,0.30,0.12,,44.1,12.25
,250.09,1281,114.7,3.4,112.2,250.31,46,1000,27.8,0,,,0.45,0.07,3.96,2.71,45,0.31,0.12,,45.08,12.52
,250.54,1302,102.5,3,100,250.76,46,1000,27.8,0,,,0.45,0.07,3.96,2.72,45,0.31,0.12,,45.08,12.52
,250.98,1302,97.6,3,97.6,251.21,47,1000,25.1,0,,,0.44,0.07,3.97,2.72,46,0.30,0.12,,46.06,12.79
,251.43,1323,87.8,2.6,87.8,251.66,47,1000,23.1,0,,,0.45,0.07,3.98,2.73,46,0.30,0.12,,46.06,12.79
,251.88,1323,80.5,2.4,78.1,252.1,48,1000,22,0,,,0.45,0.07,3.99,2.73,47,0.00,0.12,,47.04,13.07
,252.33,1323,78.1,2.4,78.1,252.55,48,1000,22,0,,,0.45,0.07,3.99,2.74,47,0.00,0.12,,47.04,13.07
,252.78,1344,75.6,2.2,75.6,253,48,1000,20.4,0,,,0.45,0.07,4.00,2.75,47,0.31,0.12,,47.04,13.07
,253.22,1344,65.9,2,63.4,253.45,48,1000,18.4,0,,,0.44,0.07,4.01,2.75,47,0.30,0.12,,47.04,13.07
,253.67,1344,63.4,1.8,63.4,253.9,49,1000,18.4,0,,,0.45,0.07,4.02,2.76,48,0.00,0.12,,48.02,13.34
,254.12,1365,63.4,1.8,63.4,254.34,49,1000,18.4,0,,,0.45,0.07,4.02,2.76,48,0.00,0.12,,48.02,13.34
,254.57,1365,63.4,1.8,63.4,254.79,49,1000,18.4,0,,,0.45,0.07,4.03,2.77,48,0.00,0.12,,48.02,13.34
,255.02,1365,61,1.8,63.4,255.24,49,1000,18,0,,,0.45,0.07,4.04,2.78,48,0.00,0.12,,48.02,13.34
,255.46,1365,61,1.8,61,255.69,49,1000,18,0,,,0.44,0.07,4.05,2.78,48,0.00,0.12,,48.02,13.34
,255.91,1365,61,1.8,61,256.14,49,1000,18,0,,,0.45,0.07,4.05,2.79,48,0.00,0.12,,48.02,13.34
,256.36,1386,61,1.8,61,256.58,49,1000,15.7,0,,,0.45,0.07,4.06,2.79,48,0.00,0.12,,48.02,13.34
,256.81,1386,51.2,1.4,51.2,257.03,49,1000,14.9,0,,,0.45,0.07,4.07,2.80,48,0.00,0.12,,48.02,13.34
,257.26,1386,48.8,1.4,48.8,257.48,49,1000,14.5,0,,,0.45,0.07,4.08,2.81,48,0.31,0.12,,48.02,13.34
,257.7,1386,48.8,1.4,46.4,257.93,49,1000,14.1,0,,,0.44,0.07,4.08,2.81,48,0.00,0.12,,48.02,13.34
,258.15,1386,48.8,1.4,48.8,258.38,50,1000,14.1,0,,,0.45,0.07,4.09,2.82,49,-0.30,0.12,,49,13.61
,258.6,1386,43.9,1.2,43.9,258.82,49,1000,13.3,0,,,0.45,0.07,4.10,2.82,48,0.00,0.12,,48.02,13.34
,259.05,1386,43.9,1.2,43.9,259.27,49,1000,13.3,0,,,0.45,0.07,4.11,2.83,48,0.00,0.12,,48.02,13.34
,259.5,1386,43.9,1.2,43.9,259.72,49,1000,12.5,0,,,0.45,0.07,4.11,2.84,48,0.00,0.12,,48.02,13.34
,259.94,1365,41.5,1,41.5,260.17,49,1000,12.5,0,,,0.44,0.07,4.12,2.84,48,0.00,0.12,,48.02,13.34
,260.39,1365,41.5,1.2,41.5,260.61,49,1000,12.5,0,,,0.45,0.07,4.13,2.85,48,0.00,0.12,,48.02,13.34
,260.84,1365,41.5,1.2,41.5,261.06,49,1000,17.3,0,,,0.45,0.07,4.14,2.85,48,0.00,0.12,,48.02,13.34
,261.29,1365,61,1.8,61,261.51,49,1000,18,0,,,0.45,0.07,4.14,2.86,48,0.00,0.12,,48.02,13.34
,261.73,1386,58.6,1.8,58.6,261.96,49,1000,16.5,0,,,0.44,0.07,4.15,2.87,48,0.00,0.12,,48.02,13.34
,262.18,1386,53.7,1.6,53.7,262.41,49,1000,15.7,0,,,0.45,0.07,4.16,2.87,48,0.30,0.12,,48.02,13.34
,262.63,1386,51.2,1.4,51.2,262.85,49,1000,15.7,0,,,0.45,0.07,4.17,2.88,48,0.30,0.12,,48.02,13.34
,263.08,1386,56.1,1.6,56.1,263.3,50,1000,18.8,0,,,0.45,0.07,4.17,2.88,49,0.00,0.12,,49,13.61
,263.53,1386,63.4,1.8,63.4,263.75,50,1000,18.4,0,,,0.45,0.07,4.18,2.89,49,0.00,0.12,,49,13.61
,263.97,1386,61,1.8,61,264.2,50,1000,20,0,,,0.44,0.07,4.19,2.90,49,0.00,0.12,,49,13.61
,264.42,1407,65.9,2,65.9,264.65,50,1000,22,0,,,0.45,0.07,4.20,2.90,49,0.30,0.12,,49,13.61
,264.87,1407,73.2,2.4,75.6,265.09,50,1000,22,0,,,0.45,0.07,4.20,2.91,49,0.30,0.12,,49,13.61
,265.32,1428,73.2,2.4,73.2,265.54,51,1000,22,0,,,0.45,0.07,4.21,2.91,50,0.00,0.12,,49.98,13.88
,265.77,1428,73.2,2.4,73.2,265.99,51,1000,22,0,,,0.45,0.07,4.22,2.92,50,0.31,0.12,,49.98,13.88
,266.21,1428,73.2,2.4,70.8,266.44,51,1000,21.2,0,,,0.44,0.07,4.22,2.93,50,0.30,0.12,,49.98,13.88
,266.66,1449,68.3,2.2,68.3,266.89,52,1000,20.4,0,,,0.45,0.07,4.23,2.93,51,0.00,0.13,,50.96,14.16
,267.11,1449,63.4,2,63.4,267.33,52,1000,19.6,0,,,0.45,0.07,4.24,2.94,51,0.00,0.13,,50.96,14.16
,267.56,1449,61,1.8,58.6,267.78,52,1000,18.4,0,,,0.45,0.07,4.25,2.95,51,0.31,0.13,,50.96,14.16
,268.01,1470,58.6,1.8,58.6,268.23,52,1000,18.4,0,,,0.45,0.07,4.25,2.95,51,0.31,0.13,,50.96,14.16
,268.45,1470,56.1,1.8,56.1,268.68,53,1000,17.6,0,,,0.44,0.07,4.26,2.96,52,0.00,0.13,,51.94,14.43
,268.9,1470,56.1,1.8,53.7,269.13,53,1000,17.6,0,,,0.45,0.07,4.27,2.97,52,0.00,0.13,,51.94,14.43
,269.35,1470,51.2,1.6,51.2,269.57,53,1000,16.9,0,,,0.45,0.07,4.28,2.97,52,0.00,0.13,,51.94,14.43
,269.8,1470,51.2,1.6,51.2,270.02,53,1000,16.9,0,,,0.45,0.07,4.28,2.98,52,0.00,0.13,,51.94,14.43
,270.25,1470,51.2,1.6,51.2,270.47,53,1000,15.7,0,,,0.45,0.07,4.29,2.99,52,0.00,0.13,,51.94,14.43
,270.69,1491,46.4,1.4,46.4,270.92,53,1000,15.7,0,,,0.44,0.07,4.30,2.99,52,0.00,0.13,,51.94,14.43
,271.14,1491,46.4,1.4,46.4,271.37,53,1000,15.7,0,,,0.45,0.07,4.31,3.00,52,0.00,0.13,,51.94,14.43
,271.59,1491,46.4,1.4,46.4,271.81,53,1000,15.7,0,,,0.45,0.07,4.31,3.00,52,0.00,0.13,,51.94,14.43
,272.05,1491,46.4,1.4,46.4,272.28,53,1000,14.9,0,,,0.46,0.07,4.32,3.01,52,0.00,0.13,,51.94,14.43
,272.5,1491,41.5,1.2,41.5,272.72,53,1000,13.7,0,,,0.45,0.07,4.33,3.02,52,0.00,0.13,,51.94,14.43
,272.95,1470,31.7,1,9.8,273.17,53,1000,0,0,,,0.45,0.07,4.34,3.02,52,-0.31,0.13,,51.94,14.43
,273.4,1449,0,0,0,273.62,53,1000,0,0,,,0.45,0.07,4.34,3.03,52,-0.31,0.13,,51.94,14.43
,273.84,1449,0,0,0,274.07,52,1000,0,0,,,0.44,0.07,4.35,3.04,51,-0.30,0.13,,50.96,14.16
,274.29,1449,0,0,0,274.52,52,1000,0,0,,,0.45,0.07,4.36,3.04,51,-0.60,0.13,,50.96,14.16
,274.76,1407,0,0,2.4,274.98,51,1000,8.6,0,,,0.47,0.07,4.37,3.05,50,-0.30,0.13,,49.98,13.88
,275.2,1386,36.6,0.8,39,275.44,50,1000,17.3,0,,,0.44,0.07,4.37,3.06,49,0.00,0.13,,49,13.61
,275.67,1386,58.6,1.6,58.6,275.89,50,1000,15.3,0,,,0.47,0.07,4.38,3.06,49,0.00,0.13,,49,13.61
,276.13,1386,36.6,1,0,276.36,50,1000,0,0,,,0.46,0.07,4.39,3.07,49,-0.30,0.13,,49,13.61
,276.58,1386,0,0,0,276.82,50,1000,0,0,,,0.45,0.07,4.40,3.07,49,-0.29,0.13,,49,13.61
,277.04,1365,0,0,0,277.27,49,1000,0,0,,,0.46,0.07,4.41,3.08,48,-0.30,0.13,,48.02,13.34
,277.51,1344,0,0,0,277.73,49,1000,2,0,,,0.47,0.07,4.41,3.09,48,-0.61,0.13,,48.02,13.34
,277.96,1323,7.3,0.2,12.2,278.18,48,1000,6.3,0,,,0.45,0.07,4.42,3.09,47,-0.31,0.13,,47.04,13.07
,278.4,1323,26.8,0.6,31.7,278.63,47,1000,17.3,0,,,0.44,0.07,4.43,3.10,46,0.00,0.13,,46.06,12.79
,278.85,1323,73.2,2,78.1,279.08,47,1000,26.7,0,,,0.45,0.07,4.44,3.10,46,0.30,0.13,,46.06,12.79
,279.3,1323,100,3,100,279.52,47,1000,26.3,0,,,0.45,0.07,4.44,3.11,46,0.30,0.13,,46.06,12.79
,279.75,1344,92.7,2.8,90.3,279.97,48,1000,25.5,0,,,0.45,0.07,4.45,3.12,47,0.31,0.13,,47.04,13.07
,280.2,1344,87.8,2.6,87.8,280.42,48,1000,24.7,0,,,0.45,0.07,4.46,3.12,47,0.31,0.13,,47.04,13.07
,280.64,1365,85.4,2.6,83,280.87,49,1000,23.1,0,,,0.44,0.07,4.47,3.13,48,0.00,0.13,,48.02,13.34
,281.09,1365,80.5,2.4,80.5,281.32,49,1000,22,0,,,0.45,0.07,4.47,3.13,48,0.00,0.13,,48.02,13.34
,281.54,1386,75.6,2.2,73.2,281.76,49,1000,21.2,0,,,0.45,0.07,4.48,3.14,48,0.30,0.13,,48.02,13.34
,281.99,1386,73.2,2.2,70.8,282.21,49,1000,20.4,0,,,0.45,0.07,4.49,3.15,48,0.31,0.13,,48.02,13.34
,282.44,1386,68.3,2.2,68.3,282.66,50,1000,20.4,0,,,0.45,0.07,4.50,3.15,49,0.00,0.13,,49,13.61
,282.88,1407,68.3,2.2,68.3,283.11,50,1000,18.4,0,,,0.44,0.08,4.50,3.16,49,0.30,0.13,,49,13.61
,283.33,1407,58.6,1.8,58.6,283.56,50,1000,17.6,0,,,0.45,0.08,4.51,3.16,49,0.30,0.13,,49,13.61
,283.78,1407,56.1,1.8,56.1,284,51,1000,16.9,0,,,0.45,0.08,4.52,3.17,50,0.00,0.13,,49.98,13.88
,284.23,1407,53.7,1.6,53.7,284.45,51,1000,14.5,0,,,0.45,0.08,4.53,3.18,50,-0.31,0.13,,49.98,13.88
,284.67,1407,41.5,1.2,36.6,284.9,51,1000,0,0,,,0.44,0.08,4.53,3.18,50,-0.30,0.13,,49.98,13.88
,285.12,1386,2.4,0,0,285.35,50,1000,0,0,,,0.45,0.08,4.54,3.19,49,-0.30,0.13,,49,13.61
,285.57,1386,0,0,0,285.79,50,1000,3.1,0,,,0.45,0.08,4.55,3.19,49,-0.30,0.13,,49,13.61
,286.02,1365,4.9,0,4.9,286.24,49,1000,7.8,0,,,0.45,0.08,4.56,3.20,48,-0.31,0.13,,48.02,13.34
,286.47,1344,29.3,0.6,29.3,286.69,49,1000,10.6,0,,,0.45,0.08,4.56,3.21,48,-0.31,0.13,,48.02,13.34
,286.91,1365,34.2,0.8,36.6,287.14,48,1000,11.8,0,,,0.44,0.08,4.57,3.21,47,0.00,0.13,,47.04,13.07
,287.36,1344,46.4,1.2,48.8,287.59,48,1000,18.8,0,,,0.45,0.08,4.58,3.22,47,0.00,0.13,,47.04,13.07
,287.81,1344,65.9,2,65.9,288.03,48,1000,23.5,0,,,0.45,0.08,4.58,3.22,47,0.30,0.13,,47.04,13.07
,288.26,1344,90.3,2.8,92.7,288.48,48,1000,29.8,0,,,0.45,0.08,4.59,3.23,47,0.31,0.13,,47.04,13.07
,288.71,1365,107.4,3.4,109.8,288.93,49,1000,32.9,0,,,0.45,0.08,4.60,3.24,48,0.31,0.13,,48.02,13.34
,289.15,1386,112.2,3.6,112.2,289.38,49,1000,32.9,0,,,0.44,0.08,4.61,3.24,48,0.60,0.13,,48.02,13.34
,289.6,1407,112.2,3.6,112.2,289.83,50,1000,34.1,0,,,0.45,0.08,4.61,3.25,49,0.30,0.13,,49,13.61
,290.05,1428,117.1,3.8,114.7,290.27,51,1000,34.1,0,,,0.45,0.08,4.62,3.25,50,0.30,0.13,,49.98,13.88
,290.5,1428,112.2,3.8,112.2,290.72,51,1000,32.2,0,,,0.45,0.08,4.63,3.26,50,0.31,0.14,,49.98,13.88
,290.95,1449,107.4,3.6,107.4,291.17,52,1000,31.4,0,,,0.45,0.08,4.64,3.27,51,0.31,0.14,,50.96,14.16
,291.39,1470,102.5,3.4,102.5,291.62,52,1000,31,0,,,0.44,0.08,4.64,3.27,51,0.30,0.14,,50.96,14.16
,291.84,1470,100,3.4,100,292.07,53,1000,0,0,,,0.45,0.08,4.65,3.28,52,0.00,0.14,,51.94,14.43
,292.29,1365,4.9,0,0,292.51,53,1100,0,0,,,0.45,0.08,4.66,3.29,52,0.00,0.14,,51.94,14.43
,292.74,903,17.1,0.2,0,292.96,53,1100,0,0,,,0.45,0.08,4.67,3.29,52,0.00,0.14,,51.94,14.43
,293.19,861,22,0.4,0,293.41,53,1100,3.1,0,,,0.45,0.08,4.67,3.30,52,0.00,0.14,,51.94,14.43
,293.63,1155,61,1.6,43.9,293.86,53,1000,9.8,0,,,0.44,0.08,4.68,3.31,52,0.00,0.14,,51.94,14.43
,294.08,1134,48.8,1,46.4,294.31,53,1000,9.8,0,,,0.45,0.08,4.69,3.31,52,0.00,0.14,,51.94,14.43
,294.53,1134,46.4,1,46.4,294.75,53,1000,9.8,0,,,0.45,0.08,4.70,3.32,52,0.00,0.14,,51.94,14.43
,294.98,1134,46.4,1,46.4,295.2,53,1000,9.8,0,,,0.45,0.08,4.70,3.32,52,0.00,0.14,,51.94,14.43
,295.43,1134,48.8,1,48.8,295.65,53,1000,11.4,0,,,0.45,0.08,4.71,3.33,52,0.00,0.14,,51.94,14.43
,295.87,1134,51.2,1.2,51.2,296.1,53,1000,11,0,,,0.44,0.08,4.72,3.34,52,0.00,0.14,,51.94,14.43
,296.34,1134,43.9,1,41.5,296.56,53,1000,1.6,0,,,0.47,0.08,4.73,3.34,52,0.00,0.14,,51.94,14.43
,296.78,1155,14.6,0.2,0,297.01,53,1000,0,0,,,0.44,0.08,4.73,3.35,52,-0.30,0.14,,51.94,14.43
,297.23,1134,0,0,0,297.46,53,1000,0,0,,,0.45,0.08,4.74,3.36,52,-0.30,0.14,,51.94,14.43
,297.7,1113,0,0,0,297.92,52,1000,0,0,,,0.47,0.08,4.75,3.36,51,0.00,0.14,,50.96,14.16
,298.14,1113,0,0,0,298.37,52,1000,0,0,,,0.44,0.08,4.76,3.37,51,-0.30,0.14,,50.96,14.16
,298.59,1113,0,0,0,298.82,52,1000,0,0,,,0.45,0.08,4.76,3.38,51,-0.30,0.14,,50.96,14.16
,299.04,1092,0,0,0,299.26,51,1000,0,0,,,0.45,0.08,4.77,3.38,50,-0.30,0.14,,49.98,13.88
,299.49,1092,0,0,0,299.71,51,1000,0,0,,,0.45,0.08,4.78,3.39,50,-0.31,0.14,,49.98,13.88
,299.94,1071,0,0,0,300.16,50,1000,2,0,,,0.45,0.08,4.79,3.40,49,0.00,0.14,,49,13.61
,300.38,1050,22,0.4,24.4,300.61,50,1000,6.3,0,,,0.44,0.08,4.79,3.40,49,0.00,0.14,,49,13.61
,300.83,1071,36.6,0.8,36.6,301.06,50,1000,8.6,0,,,0.45,0.08,4.80,3.41,49,0.00,0.14,,49,13.61
,301.28,1071,46.4,1,48.8,301.5,50,1000,9,0,,,0.45,0.08,4.81,3.41,49,0.00,0.14,,49,13.61
,301.73,1071,48.8,1,48.8,301.95,50,1000,5.9,0,,,0.45,0.08,4.82,3.42,49,0.00,0.14,,49,13.61
,302.18,1029,24.4,0.4,0,302.4,50,1000,0,0,,,0.45,0.08,4.82,3.43,49,-0.31,0.14,,49,13.61
,302.62,1050,0,0,0,302.85,50,1000,0,0,,,0.44,0.08,4.83,3.43,49,-0.30,0.14,,49,13.61
,303.07,1050,0,0,0,303.3,49,1000,0,0,,,0.45,0.08,4.84,3.44,48,-0.30,0.14,,48.02,13.34
,303.52,1050,0,0,0,303.74,49,1000,0,0,,,0.45,0.08,4.85,3.44,48,-0.30,0.14,,48.02,13.34
,303.97,1029,0,0,0,304.19,48,1000,0,0,,,0.45,0.08,4.85,3.45,47,0.00,0.14,,47.04,13.07
,304.42,1029,0,0,0,304.64,48,1000,0,0,,,0.45,0.08,4.86,3.46,47,-0.31,0.14,,47.04,13.07
,304.86,1008,0,0,0,305.09,48,1000,0,0,,,0.44,0.08,4.87,3.46,47,-0.30,0.14,,47.04,13.07
,305.31,1008,9.8,0,14.6,305.54,47,1000,7.1,0,,,0.45,0.08,4.88,3.47,46,0.00,0.14,,46.06,12.79
,305.76,1008,43.9,0.8,46.4,305.98,47,1000,11,0,,,0.45,0.08,4.88,3.47,46,0.00,0.14,,46.06,12.79
,306.21,1008,68.3,1.4,70.8,306.43,47,1000,12.5,0,,,0.45,0.08,4.89,3.48,46,0.31,0.14,,46.06,12.79
,306.66,1029,65.9,1.4,65.9,306.88,47,1000,11.4,0,,,0.45,0.08,4.90,3.48,46,0.31,0.14,,46.06,12.79
,307.1,1029,61,1.4,63.4,307.33,48,1000,10.6,0,,,0.44,0.08,4.91,3.49,47,0.00,0.14,,47.04,13.07
,307.55,1008,36.6,0.6,0,307.78,48,1000,0,0,,,0.45,0.08,4.91,3.50,47,-0.30,0.14,,47.04,13.07
,308,987,0,0,0,308.22,48,1000,0,0,,,0.45,0.08,4.92,3.50,47,-0.31,0.14,,47.04,13.07
,308.45,1008,0,0,0,308.67,47,1000,0,0,,,0.45,0.08,4.93,3.51,46,0.00,0.14,,46.06,12.79
,308.89,1008,0,0,0,309.12,47,1000,2,0,,,0.44,0.08,4.94,3.51,46,-0.30,0.14,,46.06,12.79
,309.34,987,24.4,0.4,26.8,309.57,47,1000,4.3,0,,,0.45,0.08,4.94,3.52,46,-0.30,0.14,,46.06,12.79
,309.79,987,31.7,0.6,34.2,310.01,46,1000,9,0,,,0.45,0.08,4.95,3.52,45,0.00,0.14,,45.08,12.52
,310.24,1008,61,1.2,63.4,310.46,46,1000,11,0,,,0.45,0.08,4.96,3.53,45,0.31,0.14,,45.08,12.52
,310.69,1008,63.4,1.4,63.4,310.91,46,1000,10.6,0,,,0.45,0.08,4.97,3.54,45,0.31,0.14,,45.08,12.52
,311.13,987,61,1.4,61,311.36,47,1000,10.6,0,,,0.44,0.08,4.97,3.54,46,0.00,0.14,,46.06,12.79
,311.58,1008,61,1.2,61,311.81,47,1000,11.8,0,,,0.45,0.08,4.98,3.55,46,0.00,0.14,,46.06,12.79
,312.03,1008,65.9,1.4,65.9,312.25,47,1000,11,0,,,0.45,0.08,4.99,3.55,46,0.00,0.14,,46.06,12.79
,312.48,1008,61,1.2,58.6,312.7,47,1000,9.4,0,,,0.45,0.08,5.00,3.56,46,0.00,0.14,,46.06,12.79
,312.93,1008,48.8,1,48.8,313.15,47,1000,5.9,0,,,0.45,0.08,5.00,3.56,46,0.00,0.14,,46.06,12.79
,313.37,1008,34.2,0.6,34.2,313.6,47,1000,5.9,0,,,0.44,0.08,5.01,3.57,46,0.00,0.14,,46.06,12.79
,313.82,987,34.2,0.6,34.2,314.05,47,1000,5.5,0,,,0.45,0.08,5.02,3.58,46,0.00,0.14,,46.06,12.79
,314.27,1008,34.2,0.6,34.2,314.49,47,1000,5.5,0,,,0.45,0.08,5.03,3.58,46,0.00,0.14,,46.06,12.79
,314.72,1008,34.2,0.6,34.2,314.94,47,1000,8.6,0,,,0.45,0.08,5.03,3.59,46,0.00,0.14,,46.06,12.79
,315.17,966,63.4,1.4,68.3,315.39,47,1000,15.7,0,,,0.45,0.08,5.04,3.59,46,0.00,0.14,,46.06,12.79
,315.61,1008,92.7,2,97.6,315.84,47,1000,21.6,0,,,0.44,0.08,5.05,3.60,46,0.30,0.14,,46.06,12.79
,316.06,1008,107.4,2.4,109.8,316.29,47,1000,26.7,0,,,0.45,0.08,5.06,3.60,46,0.30,0.14,,46.06,12.79
,316.51,1029,131.8,3.4,136.6,316.73,48,1000,30.2,0,,,0.45,0.08,5.06,3.61,47,0.30,0.14,,47.04,13.07
,316.96,1029,139.1,3.6,139.1,317.18,48,1000,28.2,0,,,0.45,0.08,5.07,3.62,47,0.61,0.14,,47.04,13.07
,317.41,1050,124.4,3.2,124.4,317.63,49,1000,27.1,0,,,0.45,0.08,5.08,3.62,48,0.31,0.14,,48.02,13.34
,317.85,1071,119.6,3,117.1,318.08,50,1000,26.3,0,,,0.44,0.08,5.09,3.63,49,0.00,0.14,,49,13.61
,318.3,1071,114.7,2.8,112.2,318.53,50,1000,25.1,0,,,0.45,0.08,5.09,3.63,49,0.30,0.14,,49,13.61
,318.75,1092,109.8,2.6,109.8,318.97,50,1000,24.3,0,,,0.45,0.09,5.10,3.64,49,0.30,0.14,,49,13.61
,319.2,1071,90.3,2.2,87.8,319.42,51,1000,18.4,0,,,0.45,0.09,5.11,3.65,50,0.00,0.14,,49.98,13.88
,319.65,1071,80.5,2,80.5,319.87,51,1000,16.5,0,,,0.45,0.09,5.12,3.65,50,0.00,0.14,,49.98,13.88
,320.09,1092,75.6,1.8,75.6,320.32,51,1000,15.7,0,,,0.44,0.09,5.12,3.66,50,0.00,0.14,,49.98,13.88
,320.54,1092,73.2,1.8,73.2,320.76,51,1000,15.7,0,,,0.45,0.09,5.13,3.67,50,0.00,0.14,,49.98,13.88
,320.99,1092,73.2,1.8,73.2,321.21,51,1000,14.9,0,,,0.45,0.09,5.14,3.67,50,0.00,0.14,,49.98,13.88
,321.44,1092,65.9,1.6,65.9,321.66,51,1000,11.8,0,,,0.45,0.09,5.15,3.68,50,0.00,0.14,,49.98,13.88
,321.88,1092,56.1,1.2,56.1,322.11,51,1000,11.8,0,,,0.44,0.09,5.15,3.68,50,0.00,0.14,,49.98,13.88
,322.33,1092,58.6,1.4,58.6,322.56,51,1000,11.8,0,,,0.45,0.09,5.16,3.69,50,0.00,0.15,,49.98,13.88
,322.78,1092,58.6,1.2,58.6,323,51,1000,11.8,0,,,0.45,0.09,5.17,3.70,50,0.00,0.15,,49.98,13.88
,323.23,1092,58.6,1.2,58.6,323.45,51,1000,11.4,0,,,0.45,0.09,5.18,3.70,50,-0.31,0.15,,49.98,13.88
,323.68,1092,56.1,1.2,58.6,323.9,51,1000,11.4,0,,,0.45,0.09,5.18,3.71,50,-0.31,0.15,,49.98,13.88
,324.12,1071,58.6,1.2,56.1,324.35,50,1000,10.6,0,,,0.44,0.09,5.19,3.71,49,0.00,0.15,,49,13.61
,324.57,1071,51.2,1.2,51.2,324.8,50,1000,9.8,0,,,0.45,0.09,5.20,3.72,49,0.00,0.15,,49,13.61
,325.02,1071,51.2,1.2,53.7,325.24,50,1000,15.3,0,,,0.45,0.09,5.20,3.73,49,0.00,0.15,,49,13.61
,325.47,1071,78.1,1.8,80.5,325.69,50,1000,16.1,0,,,0.45,0.09,5.21,3.73,49,0.00,0.15,,49,13.61
,325.92,1071,73.2,1.6,73.2,326.14,50,1000,11,0,,,0.45,0.09,5.22,3.74,49,0.00,0.15,,49,13.61
,326.36,1071,51.2,1.2,51.2,326.59,50,1000,5.9,0,,,0.44,0.09,5.23,3.75,49,-0.30,0.15,,49,13.61
,326.81,1050,29.3,0.6,29.3,327.04,50,1000,5.5,0,,,0.45,0.09,5.23,3.75,49,-0.30,0.15,,49,13.61
,327.26,1071,31.7,0.6,34.2,327.48,49,1000,9.8,0,,,0.45,0.09,5.24,3.76,48,0.00,0.15,,48.02,13.34
,327.71,1050,61,1.4,61,327.93,49,1000,15.7,0,,,0.45,0.09,5.25,3.76,48,0.31,0.15,,48.02,13.34
