# Movsim.org example data for fuel consumption modeling
# Source: Ostfalia Hochschule - Institute of Traffic Management http://www.ostfalia.de/cms/en/ifvm
#Thursday,12,February,2009,11:23:23,,,,,,,,,,,,,,,,,,,,,
#03G 906 021 KH ,,"R4 1,9L EDC G000SG  8984",,,,,,,,,,,,,,,,,,,,,,,
#,Group B:,'015,,,,Group A:,'006,,,,Group C:, Not Running,,,,,,,Gemessener,,,,,,,,,,,,,,,,,,,,
#,,UPM,Drehmoment,Kraftstoffverbr,Drehmoment,,Drehzahl,Bin/Bits,Last,Bin/Bits,,,Zeitschritte,Zeit,Zeit,Weg,Geschwindigkeit,Beschleunigung,Verbrauch VAGCOM,,,,,,,,,,,,,,,,,,,,
#,,RPM,Torque,Fuel Consumption,Torque,,number of rotations,Bin/Bits,Load,Bin/Bits,,,Timestep,Time,Time,Position,Speed,Acceleration,Consumption VAGCOM,,,,,,,,,,,,,,,,,,,,
#,TIME,,,,,TIME,,,,,TIME,,dt,t,t,s,v,a,bs,,v,v,,,,,,,,,,,,,,,,,
#MARKER, STAMP, /min, Nm, l/h, Nm,STAMP, km/h,,%,,STAMP,,s,h,min,km,km/h,m/s2,l,,km/h,m/s,,,,,,,,,,,,,,,,,
,13.26,1071,58.6,1.2,58.6,13.04,17,1100,12.2,0,,,0.45,0.00,0.19,0.02,17,0.15,0.00,,16.66,4.63,,,,,,,,,,,,,,,,,
,13.71,1092,58.6,1.4,58.6,13.49,18,1100,11.8,0,,,0.45,0.00,0.19,0.03,18,0.00,0.00,,17.64,4.90,,,,,,,,,,,,,,,,,
,14.16,1092,53.7,1.2,53.7,13.93,18,1100,11.4,0,,,0.45,0.00,0.20,0.03,18,0.00,0.00,,17.64,4.90,,,,,,,,,,,,,,,,,
,14.61,1092,51.2,1.2,51.2,14.38,18,1100,11,0,,,0.45,0.00,0.21,0.03,18,0.00,0.00,,17.64,4.90,,,,,,,,,,,,,,,,,
,15.05,1092,51.2,1.2,51.2,14.83,18,1100,10.6,0,,,0.44,0.00,0.22,0.03,18,0.00,0.00,,17.64,4.90,,,,,,,,,,,,,,,,,
,15.5,1092,51.2,1.2,51.2,15.28,18,1100,10.6,0,,,0.45,0.00,0.22,0.03,18,0.00,0.00,,17.64,4.90,,,,,,,,,,,,,,,,,
,15.95,1071,53.7,1.2,53.7,15.73,18,1100,10.6,0,,,0.45,0.00,0.23,0.04,18,0.00,0.00,,17.64,4.90,,,,,,,,,,,,,,,,,
,16.4,1071,70.8,1.6,73.2,16.17,18,1100,10.6,0,,,0.45,0.00,0.24,0.04,18,0.00,0.00,,17.64,4.90,,,,,,,,,,,,,,,,,
,16.85,1092,73.2,1.8,68.3,16.62,18,1100,16.9,0,,,0.45,0.00,0.25,0.04,18,0.00,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,17.29,1092,68.3,1.6,68.3,17.07,18,1100,14.9,0,,,0.44,0.00,0.25,0.04,18,0.00,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,17.74,1113,65.9,1.6,68.3,17.52,18,1100,14.9,0,,,0.45,0.00,0.26,0.05,18,0.00,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,18.19,1113,65.9,1.6,65.9,17.96,18,1100,14.9,0,,,0.45,0.00,0.27,0.05,18,0.00,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,18.64,1113,65.9,1.6,65.9,18.41,18,1100,14.1,0,,,0.45,0.00,0.28,0.05,18,0.00,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,19.08,1113,65.9,1.6,63.4,18.86,18,1100,14.1,0,,,0.44,0.00,0.28,0.05,18,0.00,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,19.53,1113,63.4,1.6,65.9,19.31,18,1100,14.1,0,,,0.45,0.00,0.29,0.05,18,0.15,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,19.98,1113,68.3,1.6,65.9,19.76,18,1100,14.1,0,,,0.45,0.00,0.30,0.06,18,0.15,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,20.43,1113,80.5,2,83,20.2,18,1100,15.7,0,,,0.45,0.01,0.31,0.06,18,0.30,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,20.88,1155,97.6,2.6,97.6,20.65,18,1100,24.3,0,,,0.45,0.01,0.31,0.06,18,0.30,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,21.32,1176,83,2,78.1,21.1,19,1100,21.6,0,,,0.44,0.01,0.32,0.06,19,0.30,0.01,,18.62,5.17,,,,,,,,,,,,,,,,,
,21.77,1218,73.2,1.8,70.8,21.55,19,1100,18,0,,,0.45,0.01,0.33,0.07,19,0.30,0.01,,18.62,5.17,,,,,,,,,,,,,,,,,
,22.22,1239,70.8,1.8,70.8,22,20,1100,18.4,0,,,0.45,0.01,0.34,0.07,20,0.30,0.01,,19.6,5.44,,,,,,,,,,,,,,,,,
,22.67,1260,68.3,1.8,70.8,22.44,20,1100,18.4,0,,,0.45,0.01,0.34,0.07,20,0.30,0.01,,19.6,5.44,,,,,,,,,,,,,,,,,
,23.12,1281,70.8,2,70.8,22.89,21,1100,18.8,0,,,0.45,0.01,0.35,0.07,21,0.15,0.01,,20.58,5.72,,,,,,,,,,,,,,,,,
,23.56,1302,68.3,1.8,65.9,23.34,21,1100,18.4,0,,,0.44,0.01,0.36,0.08,21,0.15,0.01,,20.58,5.72,,,,,,,,,,,,,,,,,
,24.01,1323,56.1,1.6,56.1,23.79,22,1100,17.3,0,,,0.45,0.01,0.37,0.08,22,0.00,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,24.46,1323,53.7,1.4,53.7,24.24,22,1100,15.3,0,,,0.45,0.01,0.37,0.08,22,0.00,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,24.91,1323,46.4,1.2,46.4,24.68,22,1100,14.1,0,,,0.45,0.01,0.38,0.08,22,-0.15,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,25.36,1302,43.9,1.2,43.9,25.13,22,1100,12.5,0,,,0.45,0.01,0.39,0.09,22,-0.15,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,25.8,1302,43.9,1.2,43.9,25.58,22,1100,12.2,0,,,0.44,0.01,0.40,0.09,22,-0.15,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,26.25,1281,43.9,1,43.9,26.03,22,1100,12.2,0,,,0.45,0.01,0.40,0.09,22,-0.15,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,26.7,1260,43.9,1,43.9,26.48,21,1100,11.8,0,,,0.45,0.01,0.41,0.09,21,0.00,0.01,,20.58,5.72,,,,,,,,,,,,,,,,,
,27.15,1239,46.4,1.2,48.8,26.92,21,1100,11.8,0,,,0.45,0.01,0.42,0.10,21,0.00,0.01,,20.58,5.72,,,,,,,,,,,,,,,,,
,27.6,1239,63.4,1.6,63.4,27.37,21,1100,14.5,0,,,0.45,0.01,0.43,0.10,21,0.15,0.01,,20.58,5.72,,,,,,,,,,,,,,,,,
,28.04,1260,63.4,1.6,65.9,27.82,21,1000,17.3,0,,,0.44,0.01,0.43,0.10,21,0.15,0.01,,20.58,5.72,,,,,,,,,,,,,,,,,
,28.49,1281,63.4,1.8,63.4,28.27,21,1000,17.3,0,,,0.45,0.01,0.44,0.10,21,0.15,0.01,,20.58,5.72,,,,,,,,,,,,,,,,,
,28.94,1302,61,1.8,58.6,28.72,21,1000,17.3,0,,,0.45,0.01,0.45,0.11,21,0.15,0.01,,20.58,5.72,,,,,,,,,,,,,,,,,
,29.39,1323,48.8,1.4,43.9,29.16,22,1000,14.1,0,,,0.45,0.01,0.46,0.11,22,0.00,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,29.84,1323,39,1,39,29.61,22,1000,11,0,,,0.45,0.01,0.46,0.11,22,-0.15,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,30.28,1302,36.6,1,34.2,30.06,22,1000,9.8,0,,,0.44,0.01,0.47,0.12,22,-0.15,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,30.73,1302,34.2,0.8,34.2,30.51,22,1000,9.8,0,,,0.45,0.01,0.48,0.12,22,-0.30,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,31.18,1281,34.2,0.8,36.6,30.95,22,1000,9.8,0,,,0.45,0.01,0.49,0.12,22,-0.46,0.01,,21.56,5.99,,,,,,,,,,,,,,,,,
,31.63,1260,34.2,0.8,26.8,31.4,21,1000,9.8,0,,,0.45,0.01,0.49,0.12,21,-0.46,0.01,,20.58,5.72,,,,,,,,,,,,,,,,,
,32.07,1197,4.9,0,0,31.85,21,1000,0,0,,,0.44,0.01,0.50,0.13,21,-0.60,0.01,,20.58,5.72,,,,,,,,,,,,,,,,,
,32.52,1155,0,0,0,32.3,20,1000,0,0,,,0.45,0.01,0.51,0.13,20,-0.61,0.01,,19.6,5.44,,,,,,,,,,,,,,,,,
,32.97,1071,0,0,0,32.75,19,1000,0,0,,,0.45,0.01,0.52,0.13,19,-0.76,0.01,,18.62,5.17,,,,,,,,,,,,,,,,,
,33.42,1008,0,0,0,33.19,18,1000,0,0,,,0.45,0.01,0.52,0.13,18,-0.76,0.01,,17.64,4.90,,,,,,,,,,,,,,,,,
,33.87,924,4.9,0,0,33.64,17,1000,0,0,,,0.45,0.01,0.53,0.13,17,-0.91,0.01,,16.66,4.63,,,,,,,,,,,,,,,,,
,34.31,819,29.3,0.4,0,34.09,16,1011,0,0,,,0.44,0.01,0.54,0.14,16,-1.06,0.01,,15.68,4.36,,,,,,,,,,,,,,,,,
,34.76,798,39,0.6,0,34.54,14,1111,0,0,,,0.45,0.01,0.55,0.14,14,-0.76,0.01,,13.72,3.81,,,,,,,,,,,,,,,,,
,35.21,819,41.5,0.6,0,34.99,13,1111,0,0,,,0.45,0.01,0.55,0.14,13,-0.76,0.01,,12.74,3.54,,,,,,,,,,,,,,,,,
,35.66,819,39,0.6,0,35.43,11,1111,0,0,,,0.45,0.01,0.56,0.14,11,-0.46,0.01,,10.78,2.99,,,,,,,,,,,,,,,,,
,36.11,819,39,0.6,0,35.88,9,1100,0,0,,,0.45,0.01,0.57,0.14,9,0.00,0.01,,8.82,2.45,,,,,,,,,,,,,,,,,
,36.55,1008,48.8,1,43.9,36.33,9,1100,4.3,0,,,0.44,0.01,0.57,0.14,9,0.00,0.01,,8.82,2.45,,,,,,,,,,,,,,,,,
,37,987,58.6,1.2,46.4,36.78,8,1100,7.5,0,,,0.45,0.01,0.58,0.14,8,0.30,0.01,,7.84,2.18,,,,,,,,,,,,,,,,,
